Time_s_int,Date,SessionTime,DriverAhead,DistanceToDriverAhead,Time,RPM,Speed,nGear,Throttle,Brake,DRS,Source,Distance,RelativeDistance,Status,X,Y,Z,Driver,Year,Event,LapNumber,Sector1Time,Sector2Time,Sector3Time,LapTime,Compound,TyreLife,AirTemp,TrackTemp,Rainfall,Opponent_Compound,Opponent_TyreLife,Time_s
0,2023-09-03 13:29:08.740,0 days 01:28:07.695000,,57.3238888888889,0 days 00:00:00,11083.57142857143,312.2857142857143,8,100.0,False,8,interpolation,0.014405672089265287,2.497686408874633e-06,OnTrack,-1384.6070597027535,-804.021354238376,1870.82377287127,1,2023,Monza,5.0,0 days 00:00:28.155000,0 days 00:00:29.514000,0 days 00:00:28.507000,0 days 00:01:26.176000,MEDIUM,5.0,29.5,43.1,False,UNKNOWN,0.0,0.0
1,2023-09-03 13:29:09.819,0 days 01:28:08.774000,55,57.56777777777782,0 days 00:00:01.079000,11236.0,318.0,8,100.0,False,8,car,94.84499999999998,0.01644443008155269,OnTrack,-1287.2290061409224,306.06422460667784,1876.70939135826,1,2023,Monza,5.0,0 days 00:00:28.155000,0 days 00:00:29.514000,0 days 00:00:28.507000,0 days 00:01:26.176000,MEDIUM,5.0,29.5,43.1,False,MEDIUM,5.0,1.079
2,2023-09-03 13:29:10.874,0 days 01:28:09.829000,55,57.423611217777825,0 days 00:00:02.134000,11522.850007466666,325.72499946666665,8,100.0,False,12,pos,189.54962914377683,0.032864522362160156,OnTrack,-1211.0,1196.0,1881.0,1,2023,Monza,5.0,0 days 00:00:28.155000,0 days 00:00:29.514000,0 days 00:00:28.507000,0 days 00:01:26.176000,MEDIUM,5.0,29.5,43.1,False,MEDIUM,5.0,2.134
3,2023-09-03 13:29:11.854,0 days 01:28:10.809000,55,56.12305534222227,0 days 00:00:03.114000,11714.65500736,330.95500096,8,100.0,False,12,pos,279.06865233395706,0.04838552312993721,OnTrack,-1143.0,1978.0,1885.0,1,2023,Monza,5.0,0 days 00:00:28.155000,0 days 00:00:29.514000,0 days 00:00:28.507000,0 days 00:01:26.176000,MEDIUM,5.0,29.5,43.1,False,MEDIUM,5.0,3.114
4,2023-09-03 13:29:12.893,0 days 01:28:11.848000,55,53.09194465777785,0 days 00:00:04.153000,11773.0,334.8931816727273,8,100.0,False,12,pos,375.4597469665523,0.06509801842404911,OnTrack,-1046.0,3111.0,1891.0,1,2023,Monza,5.0,0 days 00:00:28.155000,0 days 00:00:29.514000,0 days 00:00:28.507000,0 days 00:01:26.176000,MEDIUM,5.0,29.5,43.1,False,MEDIUM,5.0,4.153
5,2023-09-03 13:29:13.753,0 days 01:28:12.708000,55,50.332778008888965,0 days 00:00:05.013000,11744.810714514286,333.81071451428573,8,100.0,False,12,pos,455.13049165265596,0.07891150348426172,OnTrack,-979.0,3887.0,1895.0,1,2023,Monza,5.0,0 days 00:00:28.155000,0 days 00:00:29.514000,0 days 00:00:28.507000,0 days 00:01:26.176000,MEDIUM,5.0,29.5,43.1,False,MEDIUM,5.0,5.013
6,2023-09-03 13:29:14.820,0 days 01:28:13.775000,55,45.9130555555555,0 days 00:00:06.080000,11786.0,332.0,8,100.0,False,12,car,553.7222222222223,0.09600554976999649,OnTrack,-901.9264738118727,4779.980728552968,1898.8539385392717,1,2023,Monza,5.0,0 days 00:00:28.155000,0 days 00:00:29.514000,0 days 00:00:28.507000,0 days 00:01:26.176000,MEDIUM,5.0,29.5,43.1,False,MEDIUM,5.0,6.08
7,2023-09-03 13:29:15.773,0 days 01:28:14.728000,55,40.78527813333329,0 days 00:00:07.033000,11600.68999168,330.43500032,8,100.0,False,12,pos,641.42489302049,0.11121162745366507,OnTrack,-827.0,5653.0,1904.0,1,2023,Monza,5.0,0 days 00:00:28.155000,0 days 00:00:29.514000,0 days 00:00:28.507000,0 days 00:01:26.176000,MEDIUM,5.0,29.5,43.1,False,MEDIUM,5.0,7.033
8,2023-09-03 13:29:16.774,0 days 01:28:15.729000,55,36.268332871111106,0 days 00:00:08.034000,10862.810868622222,313.6833258666667,8,0.0,False,0,pos,731.1391694011191,0.1267664816395299,OnTrack,-749.0,6569.0,1909.0,1,2023,Monza,5.0,0 days 00:00:28.155000,0 days 00:00:29.514000,0 days 00:00:28.507000,0 days 00:01:26.176000,MEDIUM,5.0,29.5,43.1,False,MEDIUM,5.0,8.034
9,2023-09-03 13:29:17.774,0 days 01:28:16.729000,55,30.502220800000092,0 days 00:00:09.034000,9512.275271466666,238.39999146666668,8,0.0,True,0,pos,805.0325383892575,0.13957827287592423,OnTrack,-687.0,7307.0,1913.0,1,2023,Monza,5.0,0 days 00:00:28.155000,0 days 00:00:29.514000,0 days 00:00:28.507000,0 days 00:01:26.176000,MEDIUM,5.0,29.5,43.1,False,MEDIUM,5.0,9.034
10,2023-09-03 13:29:18.860,0 days 01:28:17.815000,55,19.446666666666374,0 days 00:00:10.120000,10193.0,149.0,4,0.0,True,0,car,859.8986111111113,0.1490910705639827,OnTrack,-634.3848635720616,7908.459259299184,1916.2422706236384,1,2023,Monza,5.0,0 days 00:00:28.155000,0 days 00:00:29.514000,0 days 00:00:28.507000,0 days 00:01:26.176000,MEDIUM,5.0,29.5,43.1,False,MEDIUM,5.0,10.12
11,2023-09-03 13:29:19.740,0 days 01:28:18.695000,55,14.968888888888614,0 days 00:00:11,8517.0,101.0,2,0.0,True,0,car,887.4319444444448,0.15386485911279482,OnTrack,-571.7347040083281,8147.8884848703865,1917.81283875517,1,2023,Monza,5.0,0 days 00:00:28.155000,0 days 00:00:29.514000,0 days 00:00:28.507000,0 days 00:01:26.176000,MEDIUM,5.0,29.5,43.1,False,MEDIUM,5.0,11.0
12,2023-09-03 13:29:20.753,0 days 01:28:19.708000,55,12.69444437333298,0 days 00:00:12.013000,6342.575089066667,74.28750186666667,2,0.0,True,0,pos,910.444201018334,0.15785477364965045,OnTrack,-399.0,8302.0,1920.0,1,2023,Monza,5.0,0 days 00:00:28.155000,0 days 00:00:29.514000,0 days 00:00:28.507000,0 days 00:01:26.176000,MEDIUM,5.0,29.5,43.1,False,MEDIUM,5.0,12.013
13,2023-09-03 13:29:21.820,0 days 01:28:20.775000,55,12.302222222221872,0 days 00:00:13.080000,6559.0,79.0,2,0.0,True,0,car,932.354166666667,0.16165357061515453,OnTrack,-191.69077778991814,8378.6128009859,1920.7342499954545,1,2023,Monza,5.0,0 days 00:00:28.155000,0 days 00:00:29.514000,0 days 00:00:28.507000,0 days 00:01:26.176000,MEDIUM,5.0,29.5,43.1,False,MEDIUM,5.0,13.08
14,2023-09-03 13:29:22.753,0 days 01:28:21.708000,55,12.37555541333289,0 days 00:00:14.013000,6352.2531096,68.0,2,6.656248,False,0,pos,950.3639475991541,0.1647761451665633,OnTrack,-142.0,8545.0,1922.0,1,2023,Monza,5.0,0 days 00:00:28.155000,0 days 00:00:29.514000,0 days 00:00:28.507000,0 days 00:01:26.176000,MEDIUM,5.0,29.5,43.1,False,MEDIUM,5.0,14.013
15,2023-09-03 13:29:23.900,0 days 01:28:22.855000,55,16.97888888888849,0 days 00:00:15.160000,8562.0,88.0,2,49.0,False,0,car,975.1775000000004,0.16907837224791353,OnTrack,-172.16752611836853,8784.646903445313,1923.946328568283,1,2023,Monza,5.0,0 days 00:00:28.155000,0 days 00:00:29.514000,0 days 00:00:28.507000,0 days 00:01:26.176000,MEDIUM,5.0,29.5,43.1,False,MEDIUM,5.0,15.16
16,2023-09-03 13:29:25.060,0 days 01:28:24.015000,55,24.901111111110595,0 days 00:00:16.320000,10216.0,134.0,3,84.0,False,0,car,1011.8663888888893,0.17543957070964783,OnTrack,-260.8644051520169,9121.819997170394,1926.0279688814278,1,2023,Monza,5.0,0 days 00:00:28.155000,0 days 00:00:29.514000,0 days 00:00:28.507000,0 days 00:01:26.176000,MEDIUM,5.0,29.5,43.1,False,MEDIUM,5.0,16.32
17,2023-09-03 13:29:25.860,0 days 01:28:24.815000,55,30.589999999999236,0 days 00:00:17.120000,10408.0,165.0,4,100.0,False,0,car,1045.7552777777785,0.18131529914946906,OnTrack,-346.62838358878224,9484.30585481421,1927.9804719107804,1,2023,Monza,5.0,0 days 00:00:28.155000,0 days 00:00:29.514000,0 days 00:00:28.507000,0 days 00:01:26.176000,MEDIUM,5.0,29.5,43.1,False,MEDIUM,5.0,17.12
18,2023-09-03 13:29:26.940,0 days 01:28:25.895000,55,36.756666666665296,0 days 00:00:18.200000,10945.0,206.0,5,100.0,False,0,car,1102.7552777777787,0.19119808173841427,OnTrack,-419.2317630869241,10018.474653436671,1930.1035523441647,1,2023,Monza,5.0,0 days 00:00:28.155000,0 days 00:00:29.514000,0 days 00:00:28.507000,0 days 00:01:26.176000,MEDIUM,5.0,29.5,43.1,False,MEDIUM,5.0,18.2
19,2023-09-03 13:29:27.820,0 days 01:28:26.775000,55,40.623333333332084,0 days 00:00:19.080000,10512.0,231.0,5,100.0,False,0,car,1156.9663888888897,0.20059732077378722,OnTrack,-424.91606483277536,10562.694634885387,1933.5811654929516,1,2023,Monza,5.0,0 days 00:00:28.155000,0 days 00:00:29.514000,0 days 00:00:28.507000,0 days 00:01:26.176000,MEDIUM,5.0,29.5,43.1,False,MEDIUM,5.0,19.08
20,2023-09-03 13:29:28.820,0 days 01:28:27.775000,55,43.467777777776746,0 days 00:00:20.080000,11426.0,254.0,6,100.0,False,0,car,1225.388611111112,0.21246051281720327,OnTrack,-371.7495117747692,11274.694494932937,1936.185133046311,1,2023,Monza,5.0,0 days 00:00:28.155000,0 days 00:00:29.514000,0 days 00:00:28.507000,0 days 00:01:26.176000,MEDIUM,5.0,29.5,43.1,False,MEDIUM,5.0,20.08
